Date,Price,Year,Month,Day,MeanWeek,EMA_7,EMA_30,Time
2012-06-19,145.76,2012,6,19,139.85857142857142,143.6567644216884,151.7969451377385,127.22790312357962
2012-06-20,142.21,2012,6,20,140.3057142857143,143.2950733162663,151.178432548207,136.196657804268
2012-06-21,145.53,2012,6,21,141.08,143.8538049871997,150.81401754509687,142.40287199076894
2012-06-22,142.5,2012,6,22,142.78285714285715,143.51535374039977,150.27762931638094,145.5753043424125
2012-06-25,144.61,2012,6,25,142.76142857142855,143.78901530529984,149.91197581209832,136.19665780426803
2012-06-26,150.49,2012,6,26,143.29285714285714,145.4642614789749,149.94926769518878,127.22790312357967
2012-06-27,149.25,2012,6,27,144.61857142857144,146.41069610923117,149.9041536503379,115.88858556510975
2012-06-28,148.57,2012,6,28,145.7642857142857,146.9505220819234,149.81807922128385,102.674287718246
2012-06-29,153.22,2012,6,29,146.1657142857143,148.51789156144255,150.03755798120102,88.16253780813244
2012-07-02,188.48,2012,7,2,147.73857142857145,158.50841867108193,152.51771553080096,13.93938528960707
2012-07-03,169.71,2012,7,3,153.8742857142857,161.30881400331145,153.6268951739751,6.310106870568354
2012-07-05,156.9,2012,7,5,157.76142857142855,160.20661050248358,153.83806322726704,0.0
2012-07-06,145.32,2012,7,6,159.51714285714283,156.48495787686267,153.28851076099176,1.5949534979663815
2012-07-08,154.14,2012,7,8,158.77857142857144,155.89871840764698,153.3434455506052,13.939385289607094
2012-07-09,145.2,2012,7,9,159.47714285714284,153.22403880573523,152.8180619666952,24.14935267883086
2012-07-11,138.44,2012,7,11,158.99571428571429,149.52802910430142,151.8904450656181,50.433169760078634
2012-07-12,134.57,2012,7,12,156.8842857142857,145.78852182822607,150.77299699686856,65.35829052190448
2012-07-13,161.21,2012,7,13,149.18285714285713,149.64389137116956,151.44635202932866,80.61684735998183
2012-07-16,160.59,2012,7,16,147.96857142857144,152.38041852837716,152.03626480163007,121.82578520305547
2012-07-17,158.94,2012,7,17,148.49571428571429,154.02031389628286,152.48166707249266,132.03575259227924
2012-07-18,159.5,2012,7,18,150.4414285714286,155.39023542221213,152.93446274523507,139.66503101131798
2012-07-19,164.77,2012,7,19,151.20714285714283,157.7351765666591,153.6980457939296,144.38018438391998
2012-07-20,164.38,2012,7,20,154.00285714285715,159.39638242499433,154.3872041298051,145.97513788188635
2012-07-23,162.54,2012,7,23,157.70857142857145,160.18228681874575,154.91319096014027,132.0357525922793
2012-07-24,157.91,2012,7,24,161.70428571428573,159.6142151140593,155.1065334788409,121.8257852030555
2012-07-25,156.43,2012,7,25,161.2328571428571,158.81816133554446,155.19191841568988,109.48135341141474
2012-07-26,156.17,2012,7,26,160.63857142857142,158.15612100165833,155.25502045338732,95.54196812180761
2012-07-27,156.93,2012,7,27,160.24285714285716,157.84959075124374,155.36308364994298,80.61684735998182
2012-07-30,157.98,2012,7,30,159.8757142857143,157.8821930634328,155.5319169628499,36.49378447047154
2012-07-31,155.98,2012,7,31,158.90571428571428,157.4066447975746,155.56082554589184,24.149352678830894
2012-08-02,188.23,2012,8,2,157.7057142857143,165.11248359818094,157.66851422035046,0.3998335394738534
2012-08-03,171.32,2012,8,3,161.3757142857143,166.66436269863573,158.5492552383924,0.3998335394738453
2012-08-05,157.3,2012,8,5,163.29142857142855,164.3232720239768,158.46865812623807,9.77848007761828
2012-08-06,144.78,2012,8,6,163.4157142857143,159.43745401798262,157.58551889228724,18.747234758306696
2012-08-08,152.37,2012,8,8,161.78857142857143,157.67059051348696,157.24903380246226,43.30085016364041
2012-08-10,149.79,2012,8,10,161.13714285714286,155.70044288511522,156.76780581520663,72.98756894094316
2012-08-11,138.79,2012,8,11,159.96714285714285,151.47283216383642,155.6079473755159,88.16253780813238
2012-08-13,147.28,2012,8,13,157.51142857142855,150.4246241228773,155.07066044806325,115.88858556510976
2012-08-14,145.92,2012,8,14,151.6614285714286,149.29846809215798,154.48029525786563,127.22790312357962
2012-08-15,144.91,2012,8,15,148.03285714285715,148.2013510691185,153.86285685413236,136.196657804268
2012-08-16,143.37,2012,8,16,146.26285714285714,146.99351330183887,153.18589834741417,142.40287199076894
2012-08-17,144.08,2012,8,17,146.06142857142856,146.26513497637916,152.59842103467776,145.5753043424125
2012-08-20,145.6,2012,8,20,144.87714285714284,146.09885123228437,152.14691000018243,136.19665780426809
2012-08-21,145.59,2012,8,21,144.2785714285714,145.9716384242133,151.72388354855778,127.22790312357967
2012-08-22,143.77,2012,8,22,145.25,145.42122881815996,151.21072977123148,115.88858556510975
2012-08-23,144.35,2012,8,23,144.74857142857144,145.15342161361997,150.76810204405527,102.674287718246
2012-08-24,145.63,2012,8,24,144.5242857142857,145.27256621021496,150.43661158960012,88.16253780813244
2012-08-27,148.54,2012,8,27,144.62714285714284,146.08942465766123,150.31424955156143,43.3008501636404
2012-08-28,149.05,2012,8,28,145.3657142857143,146.82956849324592,150.23268506436395,30.08655231677664
2012-08-29,148.59,2012,8,29,146.0757142857143,147.26967636993444,150.1267053827921,18.74723475830673
2012-08-30,146.56,2012,8,30,146.50285714285715,147.0922572774508,149.89659535809585,9.778480077618369
2012-08-31,146.7,2012,8,31,146.64142857142858,146.9941929580881,149.69036339950904,3.5722658911173784
2012-09-01,186.02,2012,9,1,147.06,156.75064471856606,152.03421092212136,1.5949534979663815
2012-09-02,187.35,2012,9,2,153.01285714285714,164.40048353892456,154.3126489271458,6.310106870568345
2012-09-03,169.38,2012,9,3,158.97285714285712,165.64536265419343,155.28473609313642,13.939385289607053
2012-09-04,159.73,2012,9,4,161.95000000000002,164.16652199064507,155.57152731293408,24.14935267883086
2012-09-05,156.73,2012,9,5,163.47571428571428,162.3073914929838,155.6462674862932,36.49378447047155
2012-09-07,158.09,2012,9,7,164.63857142857142,161.25304361973787,155.80392764846783,65.35829052190448
2012-09-08,149.71,2012,9,8,166.28571428571428,158.3672827148034,155.41077102598604,80.61684735998183
2012-09-10,147.68,2012,9,10,166.71571428571428,155.69546203610253,154.9120116049547,109.48135341141472
2012-09-11,138.24,2012,9,11,161.23857142857145,151.3315965270769,153.83639795302213,121.82578520305547
2012-09-13,155.19,2012,9,13,154.22285714285712,152.29619739530767,153.92372711734328,139.66503101131798
2012-09-14,156.88,2012,9,14,152.19571428571427,153.44214804648075,154.11445440009533,144.38018438391998
2012-09-17,154.1,2012,9,17,151.78857142857143,153.60661103486058,154.1135218581537,139.66503101131798
2012-09-18,154.17,2012,9,18,151.41285714285715,153.74745827614544,154.11716560924054,132.0357525922793
2012-09-19,152.19,2012,9,19,150.85285714285715,153.35809370710908,153.99283234412826,121.8257852030555
2012-09-20,149.36,2012,9,20,151.20714285714283,152.3585702803318,153.69393993482967,109.48135341141486
2012-09-21,152.47,2012,9,21,151.44714285714286,152.38642771024885,153.61497606806648,95.54196812180774
2012-09-24,151.76,2012,9,24,153.48,152.22982078268663,153.49530019270736,50.433169760078684
2012-09-25,153.72,2012,9,25,152.98999999999998,152.602365587015,153.5097969544682,36.49378447047154
2012-09-26,150.91,2012,9,26,152.53857142857143,152.17927419026122,153.34206811869606,24.149352678830894
2012-09-27,154.44,2012,9,27,152.08285714285714,152.74445564269593,153.4129024336189,13.939385289607078
2012-09-28,153.8,2012,9,28,152.12142857142857,153.00834173202196,153.43787647015964,6.310106870568386
2012-10-01,188.74,2012,10,1,152.35142857142858,161.94125629901646,155.71543282692355,18.747234758306696
2012-10-02,186.82,2012,10,2,157.97714285714284,168.16094222426233,157.7221790961543,30.0865523167766
2012-10-04,160.21,2012,10,4,162.8842857142857,166.17320666819674,157.88268367059598,57.81260007375387
2012-10-05,160.21,2012,10,5,164.09142857142857,164.68240500114757,158.0328331112027,72.98756894094316
2012-10-07,159.45,2012,10,7,165.01857142857142,163.3743037508607,158.1242632330606,102.6742877182459
2012-10-08,149.22,2012,10,8,166.23857142857145,159.83572781314552,157.54979463737928,115.88858556510976
2012-10-09,151.19,2012,10,9,165.49285714285716,157.67429585985914,157.13948530593547,127.22790312357962
2012-10-10,146.98,2012,10,10,165.11999999999998,155.00072189489435,156.4840346410364,136.19665780426806
2012-10-12,130.89,2012,10,12,159.1542857142857,148.97304142117076,154.83280659967923,145.5753043424125
2012-10-15,144.38,2012,10,15,151.16428571428574,147.82478106587808,154.15843198034509,136.19665780426803
2012-10-16,145.29,2012,10,16,148.90285714285713,147.19108579940857,153.58627507838736,127.22790312357967
2012-10-17,144.46,2012,10,17,146.77142857142854,146.50831434955643,152.99748313784625,115.88858556510975
